CRN	one	r0	r1	r2	r3	r4	score
570	0.14864909818541658	0.14774328	0.01003592	47.37938298	0.02076689	89.45686287	0.4603187152002071
380	0.05568542263826163	0.01850147	26.46189993	0.01243567	57.89315502	0.01187427	0.4602442061327991
1371	0.18198902453602436	76.14792779	1.6679535	0.01319772	0.01136033	10.33213961	0.4602372974990568
498	0.2604058386332712	0.31280093	32.12982208	0.03975013	70.5084269	0.60588206	0.4602357756000582
898	0.07723174392306471	0.01398388	0.01459833	22.80286103	0.20932879	48.97407834	0.46019462474378986
752	0.25332459061313944	5.72546962	0.0207234	0.04849537	11.16876375	0.04565978	0.4601938847855034
121	0.10567971601763587	0.05131044	0.01092516	12.93642005	0.06651593	26.58174416	0.46019175507908405
811	0.20526293461233439	44.51954921	0.72745401	0.02358766	93.85021508	0.04158055	0.4601819082526215
63	0.07635433005331674	0.01143876	48.69185357	0.02412772	90.80707131	0.01250753	0.4601794391521937
522	0.10622322995026943	0.0172897	19.89202175	0.01721796	43.82666673	0.01403569	0.4601554826960965
1277	0.09815594372761935	0.012142	36.92558128	0.03488693	0.27750685	77.30361411	0.46015371488972817
573	0.12603252101440948	0.08795603	0.01031831	29.36648414	0.03039863	66.11739666	0.4601233189643159
785	0.08015523226267393	0.01826583	0.04352618	31.72179982	66.07899033	0.76618086	0.4601204531948867
239	0.16591647744580862	0.05230969	24.13912113	0.06679668	48.71149299	0.08556105	0.4601117626884994
791	0.25327164500356436	0.05488853	9.47081327	0.03089498	18.25912563	0.03023449	0.46010787678940673
215	0.2761749516103595	0.04436536	16.55634988	0.02311485	0.08764734	32.4358067	0.46010649786148666
749	0.30877691052151696	12.72165832	0.12098935	0.06708924	25.33448689	0.06730671	0.4601057428991718
557	0.06330974031308907	0.01429442	15.50709835	0.01067652	33.37542434	0.03370872	0.4600565490901853
608	0.3502114734909557	16.09043467	0.24192618	0.02214957	35.51870606	0.77712072	0.4600403825380961
1107	0.06507421117050782	0.01438292	32.71947834	0.06152538	0.01699855	68.18451474	0.4600296474442968
1142	0.16195992560961048	75.35114017	0.0703515	0.02019631	2.38958931	11.95322852	0.4600233401979823
1056	0.23378040947825213	32.97199545	0.27320159	0.04955574	65.43181948	0.11427107	0.46000683439615425
322	0.3053552814411187	0.01453504	4.20157726	0.05514444	0.03893308	8.53825903	0.4599972857026219
12	0.19207873859119848	0.01289552	0.06242731	30.93144172	0.26081191	67.78492138	0.45999286744905915
1156	0.26913817358284187	0.13651918	16.0215715	0.03809075	0.04959132	31.19927723	0.45997292586899124
556	0.13509420246700654	0.04801457	35.81169029	0.01531569	69.970044	0.02214205	0.45996302970235825
13	0.08738006616584942	0.01931045	0.04377939	13.84359878	0.01649013	28.01078014	0.45995338954196024
1144	0.2784999491652772	25.31488426	0.09408738	1.02505546	0.0134209	4.26828719	0.459942152318152
945	0.28045065117766615	41.41240687	1.08407504	0.01041671	0.04544762	5.57372066	0.45993907937771494
521	0.12165947026124718	0.04189081	35.71228414	0.04187886	69.75066833	0.03636319	0.4599234760537697
28	0.10306472096198875	18.67562004	0.01462845	0.07218997	36.72462648	0.23437891	0.4598935793008416
672	0.06574357874930284	0.01574973	0.07539014	37.15507099	74.80758105	0.34748498	0.4598795904247819
526	0.14730736763224792	0.01174529	20.0036701	40.3980005	0.13788255	0.9870775	0.4598659236303901
748	0.31878147455133526	6.15142207	0.01233186	0.05686684	11.91017493	0.07453456	0.45986151331165004
47	0.08561886719651389	0.01167238	19.33735514	0.2043671	39.64204236	0.03484384	0.45985716683216565
1180	0.11203886097793021	12.24844303	0.01107359	0.28598713	0.02705702	25.29855713	0.45983278860417315
319	0.04257801348359903	0.03033513	0.03209404	46.10126979	0.05819494	91.71157451	0.45983050005702986
184	0.2957437285316514	0.03622132	0.0281766	9.20237145	21.10500691	0.03167387	0.4598295589149199
482	0.21573254749330664	0.01167956	0.01146842	12.98885005	0.25886551	26.64647281	0.4598283376735678
235	0.07042009701398279	0.08460781	35.96826001	0.01838691	78.40276314	0.06790399	0.459816868752936
157	0.19742306250088745	0.0216481	16.28235292	0.30765755	31.93469495	0.05874445	0.45981515468695794
160	0.16990749396810803	0.01586388	22.23572099	0.0203232	51.55336956	0.08293221	0.4598000360364117
