crn	r0	r1	r2
1717	1300	0133	0111	0100
1718	1300	0233	0111	0100
1719	1302	0233	0111	0100
172	0333	0111	0300	0100
1720	1302	0133	0111	0100
1721	1322	1203	0111	0100
1722	1322	2203	0111	0100
1723	1301	0233	0111	0100
1724	1312	0233	0111	0100
1725	1311	2203	0111	0100
1726	1312	2203	0111	0100
1727	1311	1203	0111	0100
1728	1312	1203	0111	0100
1729	1300	0113	0111	0100
173	1333	0111	0203	0100
1730	1300	0213	0111	0100
1731	1302	0213	0111	0100
1732	1302	0113	0111	0100
1733	1301	0213	0111	0100
1734	1312	0213	0111	0100
1735	1303	1200	0111	0100
1736	1333	1203	0111	0100
1737	1333	1200	0111	0100
1738	1323	1203	0111	0100
1739	1323	1200	0111	0100
174	1333	0111	0103	0100
1740	1323	2203	0111	0100
1741	1323	2200	0111	0100
1742	1333	2203	0111	0100
1743	1333	2200	0111	0100
1744	1303	2200	0111	0100
1745	1333	1201	0111	0100
1746	1323	1201	0111	0100
1747	1333	2201	0111	0100
1748	1323	2201	0111	0100
1749	1303	0113	0111	0100
175	2333	0223	0111	0100
1750	1303	0133	0111	0100
1751	1303	0233	0111	0100
1752	1303	0211	0111	0100
1753	2212	0213	0111	0100
1754	2201	0213	0111	0100
1755	2213	0213	0111	0100
1756	2213	0211	0111	0100
1757	2212	2201	0111	0100
1758	2212	2200	0111	0100
1759	2213	2211	0111	0100
176	2333	0111	0302	0100
1760	2213	2201	0111	0100
1761	2211	2201	0111	0100
1762	1213	2201	0111	0100
1763	1213	2200	0111	0100
1764	1211	2201	0111	0100
1765	1211	2200	0111	0100
1766	1233	2201	0111	0100
1767	1233	2200	0111	0100
1768	2311	2200	0111	0100
1769	2313	2200	0111	0100
177	2333	0111	0102	0100
1770	2213	2200	0111	0100
1771	2211	2200	0111	0100
1772	2311	2201	0111	0100
1773	2313	2201	0111	0100
1774	2313	2211	0111	0100
1775	2333	2201	0111	0100
1776	2333	2200	0111	0100
1777	2233	2200	0111	0100
1778	2233	2201	0111	0100
1779	2322	2201	0111	0100
178	0333	0111	0200	0100
1780	2223	2201	0111	0100
1781	1223	2201	0111	0100
1782	1222	2201	0111	0100
1783	1223	2200	0111	0100
1784	1222	2200	0111	0100
1785	2223	2200	0111	0100
1786	2322	2200	0111	0100
1787	2313	0211	0111	0100
1788	2312	0211	0111	0100
1789	1213	0211	0111	0100
179	1333	0111	0200	0100
1790	2313	0213	0111	0100
1791	2313	0233	0111	0100
1792	2312	0233	0111	0100
1793	1213	0213	0111	0100
